Item,Phase,Internal_DIY_GBP,Freelancer_UK_GBP,Agency_UK_GBP,Tools_Software_GBP,Ongoing_Monthly_GBP,Time_Estimate,Priority,Expected_Impact
Strip fabricated testimonials and unverified claims,Quick,0,150-300,500-1000,0,0,4 hours,P0,Trust + E-E-A-T critical
Verify Google Search Console + Bing Webmaster + submit sitemap,Quick,0,50-100,200-400,0,0,1 hour,P0,Required for measurement
Migrate 3 Google Fonts to next/font/google,Quick,0,350-600,800-1500,0,0,1 day,P1,LCP +100-400ms; PageSpeed score +5-15
Wire FAQPageJsonLd to 6 audience pages,Quick,0,300-600,800-1500,0,0,1 day,P1,Rich-result eligibility; CTR +10-30%
Rewrite 8 audience-page H1s + titles for query intent,Quick,0,300-600,800-1500,0,0,1 day,P1,Per-page ranking lift +5-15%
Build EmailCaptureCard component + API route + Supabase table,Quick,200,800-1500,2500-4000,0,0,2 days,P1,Email list compounding asset
Run PageSpeed Insights baseline against 5 priority URLs,Quick,0,50-100,150-300,0,0,30 minutes,P1,Required baseline for measurement
Add per-page metadata to top 50 leaf pages,Quick,500,1000-2000,3000-5000,0,0,2-3 days,P2,Snippet quality + CTR +10-25%
Add Google Site Verification meta tag,Quick,0,50,150,0,0,5 minutes,P2,Required
Document conversion event taxonomy,Quick,0,200-400,600-1200,0,0,0.5 day,P2,Measurement integrity
Add ContactPoint schema to /contact,Quick,0,50-150,250-500,0,0,30 minutes,P3,Minor rich-result eligibility
Add 404 page improvements,Quick,0,150-300,500-1000,0,0,1 hour,P3,UX improvement
Add security headers (X-Content-Type-Options X-Frame-Options),Quick,0,100-200,300-600,0,0,30 minutes,P3,Security grade A; mild SEO
Sitemap content audit (35 IGCSE Lang A texts vs 10 listed),Quick,0,200-400,600-1200,0,0,0.5 day,P2,Crawl-budget integrity
Build /blog architecture + first 12 launch posts (DIY content),Short,2000-4000,6000-12000,15000-30000,0,0,5-7 weeks,P1,Highest-leverage SEO investment
Build /blog architecture + first 12 launch posts (freelancer content),Short,500,8000-15000,20000-40000,0,0,5 weeks,P1,Same
Build first 10 PDF lead magnets (DIY content + design),Short,1000-2000,4000-8000,12000-25000,0,0,4 weeks,P1,Email list + backlink-worthy
Build first 30 PDF lead magnets (DIY for 20, freelancer for 10),Short,1500-3000,6000-15000,20000-40000,50,0,8 weeks,P1,Same
Build 6 board-comparison pages,Short,1000-2000,3000-6000,8000-15000,0,0,2-3 weeks,P1,Mid-funnel conversion
Add Article + LearningResource + HowTo schema components + integrate,Short,0-500,1200-2500,3500-6000,0,0,4-5 days,P2,Rich-result eligibility 100+ pages
EdTech Impact directory listing + first 10 reviews,Short,0,0,500-1000 (PR coordination),0,0,Spread over 4-8 weeks,P2,Star ratings + B2B trust
Add Course schema to per-board hubs (5 pages),Short,0,200-500,600-1200,0,0,1 day,P2,Education-search rich results
Set-text page enrichment (Macbeth pilot + 24 follow-up),Med,1500-3000,5000-10000,15000-30000,0,0,12 days,P2,Convert ranked pages to lead-magnet engines
50 more blog posts (continuing weekly cadence),Med,4000-8000,15000-30000,40000-80000,0,0,12 weeks,P2,Compounding topical authority
Local landing pages: Qatar / GCC / Intl schools (3 pages),Med,500-1000,2000-4000,5000-10000,0,0,2 weeks,P2,High-LTV niche
Exam-board comparison hub /exam-boards index,Med,200-500,800-1500,2000-4000,0,0,1 week,P2,Internal-link equity
Directory listings (BESA TES BSO CIS Crunchbase LinkedIn),Med,0-500,500-1500,2000-4000,0,0,3-5 days,P2,B2B authority backlinks
Q1 2027 Digital PR campaign (30-Day Revision Plan),Long,500-1500,3000-8000,10000-25000,0,0,10 weeks,P1,10-30 high-DR backlinks; PR spike
GCSE English Grade Distribution Report (Q2 2027),Long,1000-3000,5000-10000,15000-30000,200 (data viz tool),0,3 weeks,P2,30+ DR60-90 backlinks
Video content series (60 short videos year 1),Long,500-1500,3000-15000,20000-60000,0,0-200,12 months,P2,Distribution + brand
Founder LinkedIn + podcast tour,Long,0,500-2000 (PR coordination),3000-10000,0,0,Ongoing,P2,Brand authority B2B
Predict-your-grade tool quiz,Long,500-1500,2500-5000,8000-15000,0,0,2 weeks,P2,TOFU + lead capture
Exam-board-finder tool quiz,Long,200-500,1500-3000,5000-10000,0,0,1 week,P3,Top-of-funnel
Add /noindex meta to /dashboard /admin /account belt-and-braces,Quick,0,50,150,0,0,15 minutes,P3,Indexing-budget integrity
Document redirect map (next.config + middleware redirects),Quick,0,100-200,400-800,0,0,1 hour,P3,Maintainability
Update priceValidUntil annually in WebsiteJsonLd,Annual,0,0-50,100-200,0,0,5 minutes,P3,Schema accuracy
Subscribe to Search Console weekly digest + monthly review,Ongoing,0,0,500-1500,0,150-400 (analyst),Ongoing,P1,Catch issues early
Run monthly PageSpeed Insights audit on 10 URLs,Ongoing,0,0,300-800,0,0-150,15 min/month,P2,Performance regression detection
Schema validator monthly check (validator.schema.org),Ongoing,0,0,200-500,0,0-100,30 min/month,P2,Schema integrity
Conversion-funnel quarterly review (PostHog + GA4),Ongoing,0,0,500-1500,0,200-600,2 hours/quarter,P1,Conversion optimisation
Backlink health monitoring (Ahrefs alerts or free Search Console),Ongoing,0,99/month (Ahrefs Lite),300-800/month,99,99,Ongoing,P2,Detect lost backlinks
Email list growth + automation,Ongoing,0,0,500-1500/month,Resend free tier,99-200,Ongoing,P1,List monetisation
Affiliate creator outreach (continued from current pipeline),Ongoing,0,500-1500/month,2000-5000/month,Rewardful 99/month,99-200,Ongoing,P1,Distribution
Trustpilot review-collection campaign,Quick,0,200-500,800-1500,Trustpilot Free,0-150 if paid,2 weeks,P2,Trust signals
Search Console keyword research weekly review,Ongoing,0,0,300-800/month,0,0,30 min/week,P1,Discovery + optimisation
Total Phase 1 (Quick wins) DIY,Quick,200-1000,2000-4000,5000-10000,0,0,2 weeks,P0-P3,Foundations
Total Phase 2 (Short-term) DIY,Short,4000-9000,18000-35000,45000-90000,0-50,0,4-6 weeks,P1-P2,Content moat
Total Phase 3 (Medium-term) DIY,Med,6000-12000,25000-50000,60000-120000,0-200,99-200,6-12 weeks,P2,Authority depth
Total Phase 4 (Long-term) DIY,Long,2000-6000,15000-40000,40000-80000,0-200,99-200,3-6 months,P1-P2,Authority + PR
TOTAL 12-month investment (DIY + freelancer mix),All,12000-28000,60000-130000,150000-300000,0-300,300-1000,12 months,All,5-15× organic traffic by exam season May 2027
